epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,5867.71,0.74194,1.41786,1.42028,0.98544,0,0.30915,0.24995,0.18764,0.14123,0.31662,0.24815,0.19034,0.13007,0.83473,1.83463,2.0278,1.06591,0,3.895e-05,3.895e-05,3.895e-05
39,6178.39,0.76049,1.4872,1.49761,1.00222,0,0.32538,0.24703,0.18989,0.14284,0.32917,0.24944,0.19321,0.13157,0.82484,1.80322,1.99354,1.059,0,3.73e-05,3.73e-05,3.73e-05
40,6484.76,0.75878,1.46527,1.46137,0.99563,0,0.331,0.24995,0.19393,0.14634,0.33785,0.25006,0.197,0.13469,0.83475,1.81253,1.9895,1.0607,0,3.565e-05,3.565e-05,3.565e-05
41,6793.23,0.7515,1.45093,1.45303,0.99449,0,0.29925,0.24354,0.18761,0.14146,0.30632,0.24429,0.19074,0.13049,0.83448,1.82363,2.04075,1.06171,0,3.4e-05,3.4e-05,3.4e-05
42,7101.73,0.75255,1.45887,1.4518,0.99363,0,0.32769,0.24804,0.19162,0.14433,0.33074,0.24965,0.19367,0.13311,0.83236,1.80877,2.01726,1.06328,0,3.235e-05,3.235e-05,3.235e-05
43,7409.38,0.74242,1.43194,1.41526,0.99016,0,0.30503,0.25731,0.19112,0.14308,0.3089,0.25807,0.19327,0.13219,0.8372,1.82592,2.0121,1.06572,0,3.07e-05,3.07e-05,3.07e-05
44,7716.01,0.74535,1.4451,1.42112,0.99108,0,0.33149,0.24628,0.1943,0.14628,0.33157,0.25012,0.19752,0.13511,0.83264,1.80568,1.99283,1.06336,0,2.905e-05,2.905e-05,2.905e-05
45,8027.96,0.74372,1.42016,1.4,0.98932,0,0.31319,0.24887,0.1922,0.14428,0.31729,0.25022,0.19458,0.13364,0.83445,1.81548,2.01112,1.06532,0,2.74e-05,2.74e-05,2.74e-05
46,8336.26,0.74374,1.43048,1.39408,0.98738,0,0.31331,0.24831,0.19111,0.14359,0.32235,0.24682,0.19365,0.13309,0.83569,1.81281,2.00423,1.06456,0,2.575e-05,2.575e-05,2.575e-05
47,8646.88,0.74657,1.43368,1.3862,0.98857,0,0.32291,0.24867,0.19273,0.1456,0.32618,0.25125,0.19632,0.13458,0.83112,1.81362,1.99539,1.06838,0,2.41e-05,2.41e-05,2.41e-05
48,8951.19,0.7416,1.43482,1.38906,0.98769,0,0.3238,0.25162,0.19395,0.14606,0.32542,0.25374,0.19686,0.13414,0.83589,1.82765,2.00982,1.06569,0,2.245e-05,2.245e-05,2.245e-05
49,9255.61,0.74186,1.43707,1.38183,0.98762,0,0.31724,0.25286,0.19294,0.14545,0.32036,0.25525,0.19564,0.13412,0.83486,1.83598,2.01973,1.06495,0,2.08e-05,2.08e-05,2.08e-05
50,9561.41,0.729,1.40178,1.33915,0.98086,0,0.31978,0.25797,0.19417,0.14567,0.32342,0.2604,0.19738,0.13454,0.84388,1.8268,2.01654,1.06889,0,1.915e-05,1.915e-05,1.915e-05
51,9728.93,0.74182,1.48356,1.36976,0.99166,0,0.3344,0.24202,0.18932,0.1415,0.33738,0.24457,0.19181,0.12978,0.84447,1.84527,2.019,1.06894,0,1.75e-05,1.75e-05,1.75e-05
52,9895.16,0.72343,1.44698,1.28832,0.98156,0,0.32203,0.24362,0.19014,0.14266,0.32779,0.2461,0.19392,0.13089,0.84175,1.85205,2.01977,1.07127,0,1.585e-05,1.585e-05,1.585e-05
53,10060.8,0.71976,1.42885,1.27131,0.97662,0,0.31887,0.24729,0.19101,0.14297,0.32191,0.24892,0.19355,0.13166,0.85055,1.84954,2.01964,1.0753,0,1.42e-05,1.42e-05,1.42e-05
54,10226.6,0.72176,1.4387,1.25979,0.9777,0,0.32537,0.24345,0.19082,0.14318,0.32772,0.24559,0.1933,0.13203,0.84416,1.85602,2.02565,1.07185,0,1.255e-05,1.255e-05,1.255e-05
55,10392.3,0.71343,1.42096,1.23499,0.97313,0,0.32674,0.24292,0.19228,0.14437,0.3281,0.24699,0.1955,0.13282,0.84687,1.85824,2.03388,1.07324,0,1.09e-05,1.09e-05,1.09e-05
56,10558,0.71129,1.41075,1.23059,0.9701,0,0.31814,0.24449,0.19038,0.14351,0.32855,0.24434,0.19408,0.13239,0.84354,1.84787,2.03027,1.07193,0,9.25e-06,9.25e-06,9.25e-06
57,10723.2,0.70851,1.41372,1.22509,0.97098,0,0.3211,0.24627,0.1919,0.1447,0.32239,0.2496,0.19516,0.1338,0.83804,1.84514,2.02818,1.06992,0,7.6e-06,7.6e-06,7.6e-06
58,10888.8,0.70238,1.40374,1.21935,0.96813,0,0.33521,0.23855,0.19314,0.1454,0.32331,0.24711,0.1963,0.13406,0.84036,1.84844,2.02877,1.06995,0,5.95e-06,5.95e-06,5.95e-06
59,11054.4,0.70577,1.40393,1.19731,0.97017,0,0.33449,0.23682,0.19337,0.14604,0.33351,0.24305,0.19617,0.13429,0.83996,1.84428,2.02488,1.07023,0,4.3e-06,4.3e-06,4.3e-06
60,11220.5,0.70192,1.3985,1.1937,0.96546,0,0.32201,0.24325,0.19328,0.14574,0.32369,0.2471,0.19613,0.13406,0.8464,1.85349,2.0347,1.07195,0,2.65e-06,2.65e-06,2.65e-06
