epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,10744,0.92392,1.82006,1.99214,1.05716,0,0.26609,0.21498,0.15145,0.10849,0.27013,0.21439,0.15251,0.09824,0.93626,1.96639,2.17638,1.07729,0,0.000117235,0.000117235,0.000117235
39,11027.5,0.9287,1.81966,1.98864,1.05706,0,0.29976,0.20949,0.14865,0.10453,0.30011,0.21083,0.14952,0.09492,0.94303,1.96392,2.16155,1.07721,0,0.000115403,0.000115403,0.000115403
40,11313.3,0.92319,1.80351,1.9675,1.05413,0,0.2812,0.216,0.15168,0.10875,0.28315,0.21545,0.15338,0.0983,0.92998,1.94701,2.13825,1.06996,0,0.000113571,0.000113571,0.000113571
41,11597.9,0.92279,1.80166,1.94718,1.05557,0,0.30033,0.21904,0.15199,0.10752,0.30493,0.21825,0.15188,0.09704,0.93624,1.97613,2.14727,1.0728,0,0.00011174,0.00011174,0.00011174
42,11881,0.92501,1.79758,1.94949,1.05392,0,0.30126,0.2175,0.14889,0.10636,0.3034,0.21628,0.14983,0.09622,0.92659,1.9417,2.14869,1.06884,0,0.000109909,0.000109909,0.000109909
43,12165.8,0.92441,1.79496,1.95059,1.05337,0,0.26179,0.21526,0.14656,0.10495,0.2671,0.21277,0.14692,0.09477,0.93297,1.96119,2.15243,1.07632,0,0.000108077,0.000108077,0.000108077
44,12446,0.91676,1.77442,1.93544,1.05214,0,0.26846,0.21249,0.15205,0.10857,0.2734,0.212,0.15389,0.09846,0.92796,1.9524,2.12918,1.06824,0,0.000106246,0.000106246,0.000106246
45,12730.2,0.92191,1.78639,1.90289,1.05146,0,0.2631,0.22445,0.15479,0.1104,0.26893,0.22138,0.15508,0.10026,0.93229,1.96783,2.13408,1.06681,0,0.000104414,0.000104414,0.000104414
46,13007.5,0.92503,1.79308,1.89826,1.05095,0,0.29938,0.22102,0.15526,0.11163,0.30049,0.22143,0.15631,0.10071,0.92391,1.93149,2.10702,1.06911,0,0.000102582,0.000102582,0.000102582
47,13288,0.91507,1.77569,1.88795,1.04962,0,0.26754,0.22305,0.15559,0.11047,0.27324,0.22071,0.15628,0.09974,0.92665,1.95717,2.1171,1.06842,0,0.000100751,0.000100751,0.000100751
48,13576.5,0.91858,1.78728,1.89163,1.04977,0,0.2586,0.22384,0.15088,0.1075,0.26029,0.2237,0.15265,0.09711,0.93509,1.96817,2.14988,1.06896,0,9.89195e-05,9.89195e-05,9.89195e-05
49,13861.8,0.9125,1.76706,1.86797,1.04982,0,0.26559,0.22061,0.15393,0.1102,0.2681,0.21903,0.15442,0.10014,0.9316,1.96904,2.13926,1.07119,0,9.7088e-05,9.7088e-05,9.7088e-05
50,14151.7,0.91802,1.77871,1.88274,1.04735,0,0.26323,0.22295,0.15517,0.11065,0.26685,0.22234,0.15706,0.10087,0.93822,1.97872,2.13419,1.07425,0,9.52565e-05,9.52565e-05,9.52565e-05
51,14440.2,0.91559,1.77075,1.85142,1.04737,0,0.29383,0.21257,0.15386,0.11047,0.29818,0.21219,0.1555,0.10009,0.93036,1.98299,2.13183,1.07433,0,9.3425e-05,9.3425e-05,9.3425e-05
52,14720.8,0.90776,1.75025,1.85874,1.04602,0,0.301,0.21813,0.15928,0.11342,0.30826,0.21745,0.1601,0.10332,0.94327,1.97037,2.11456,1.07577,0,9.15935e-05,9.15935e-05,9.15935e-05
53,15012.6,0.90912,1.75481,1.8366,1.04305,0,0.30016,0.22044,0.15796,0.11202,0.29954,0.22131,0.15826,0.10249,0.92706,1.93828,2.10202,1.06946,0,8.9762e-05,8.9762e-05,8.9762e-05
